id,created_at,text
849636868052275200,2017-04-05 14:56:29,b'And so the robots spared humanity ... https://t.co/v7JUJQWfCv'
848988730585096192,2017-04-03 20:01:01,"b""@ForIn2020 @waltmossberg @mims @defcon_5 Exactly. Tesla is absurdly overvalued if based on the past, but that's irr\xe2\x80\xa6 https://t.co/qQcTqkzgMl"""
848943072423497728,2017-04-03 16:59:35,"b'@waltmossberg @mims @defcon_5 Et tu, Walt?'"
848935705057280001,2017-04-03 16:30:19,b'Stormy weather in Shortville ...'
848416049573658624,2017-04-02 06:05:23,"b""@DaveLeeBBC @verge Coal is dying due to nat gas fracking. It's basically dead."""
848415731502923777,2017-04-02 06:04:07,"b""@Lexxxzis It's just a helicopter in helicopter's clothing"""
848415356263702528,2017-04-02 06:02:38,"b""@verge It won't matter"""
848398971139629057,2017-04-02 04:57:31,b'@SuperCoolCube Pretty good'
848244577521647616,2017-04-01 18:44:01,"b""Why did we waste so much time developing silly rockets? Damn you, aliens! So obtuse! You have all this crazy tech, but can't speak English!?"""
848243350993895424,2017-04-01 18:39:09,b'Technology breakthrough: turns out chemtrails are actually a message from time-traveling aliens describing the secret of teleportation'
848239928043491328,2017-04-01 18:25:33,"b""RT @OpenAI: We've created the world's first Spam-detecting AI trained entirely in simulation and deployed on a physical robot: https://t.co\xe2\x80\xa6"""
848239664536223745,2017-04-01 18:24:30,b'RT @ProfBrianCox: This is extremely important from @elonmusk and @SpaceX - reusable rockets bring us MUCH closer to becoming a spacefaring\xe2\x80\xa6'
848036043240636417,2017-04-01 04:55:23,"b'@adamsbj Def P100D with Ludicrous+, although the rocket starts going a lot faster after that'"